time_step  time  K  U  H  kT  p  msd 
1780 3.560000 313.578892 -1095.485158 -781.906266 0.819814 1.623961 1.047339
1790 3.580000 298.375577 -1079.930213 -781.554636 0.780067 1.847701 1.054326
1800 3.600000 294.856091 -1075.717620 -780.861528 0.770866 1.905152 1.061157
1810 3.620000 308.893267 -1089.249142 -780.355875 0.807564 1.718877 1.067797
1820 3.640000 316.353250 -1096.566662 -780.213411 0.827067 1.606811 1.074589
1830 3.660000 314.546313 -1094.668047 -780.121734 0.822343 1.618561 1.081773
1840 3.680000 313.674955 -1093.704206 -780.029252 0.820065 1.629583 1.089291
1850 3.700000 301.745543 -1081.485896 -779.740353 0.788877 1.793738 1.097101
1860 3.720000 293.075047 -1072.168711 -779.093665 0.766209 1.930553 1.104999
1870 3.740000 300.886898 -1079.318505 -778.431607 0.786632 1.853696 1.112566
1880 3.760000 313.434907 -1091.527476 -778.092569 0.819438 1.702676 1.119317
1890 3.780000 320.000404 -1098.053499 -778.053095 0.836602 1.622949 1.124916
1900 3.800000 319.505683 -1097.644022 -778.138339 0.835309 1.641112 1.129672
1910 3.820000 309.126061 -1087.180384 -778.054323 0.808173 1.797749 1.134350
1920 3.840000 298.705571 -1076.307096 -777.601525 0.780930 1.960915 1.139224
1930 3.860000 305.752517 -1082.842641 -777.090125 0.799353 1.897143 1.144021
1940 3.880000 310.587441 -1087.413679 -776.826237 0.811993 1.847935 1.148863
1950 3.900000 303.044819 -1079.519683 -776.474864 0.792274 1.944204 1.154105
1960 3.920000 307.761331 -1083.798467 -776.037136 0.804605 1.870134 1.159591
1970 3.940000 320.668799 -1096.588518 -775.919719 0.838350 1.672550 1.164960
1980 3.960000 326.765033 -1102.863720 -776.098687 0.854288 1.552343 1.170140
1990 3.980000 331.003816 -1107.464025 -776.460209 0.865369 1.461039 1.175416
2000 4.000000 330.934222 -1107.836558 -776.902336 0.865188 1.436107 1.181346
2010 4.020000 327.276491 -1104.561650 -777.285160 0.855625 1.477281 1.188084
2020 4.040000 321.774217 -1099.268059 -777.493842 0.841240 1.563368 1.195620
2030 4.060000 318.905700 -1096.489912 -777.584212 0.833740 1.631658 1.203938
2040 4.080000 313.062496 -1090.578783 -777.516287 0.818464 1.737408 1.212875
2050 4.100000 313.743574 -1091.102297 -777.358723 0.820245 1.755576 1.222288
